area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,annual_avg_estabs_prop,annual_avg_emplvl_prop,total_annual_wages_prop,taxable_annual_wages_prop,annual_contributions_prop,avg_annual_pay_prop,annual_avg_wkly_wage_prop,industry_code_name,own_code_name,size_code_name,agglvl_code_name,county_name
39041,0,10,70,0.0,2018,A,0,5456,88543,4899065110,882091620,17221505,1060.4146329640228,55329.7845114803,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Total, all industries",Total Covered,All establishment sizes,"County, Total Covered",Delaware
39041,1,10,71,0.0,2018,A,0,15,238,14991053,0,0,1207.1796779657673,62987.617647058825,0,0.47,0.14,0.11,0.0,0.0,0.78,0.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002749266862170088,0.0026879595224918967,0.003059982397335397,0.0,0.0,1.1384034512910421,1.1384034512910421,"Total, all industries",Federal Government,All establishment sizes,"County, Total -- by ownership sector",Delaware
39041,1,1021,73,0.0,2018,A,0,9,190,11104593,0,0,1120.1231625852038,58445.22631578947,0,0.55,0.46,0.45,0.0,0.0,0.97,0.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016495601173020528,0.002145850038964119,0.0022666759372789802,0.0,0.0,1.056306776392067,1.056306776392067,"Trade, transportation, and utilities",Federal Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,1,1024,73,0.0,2018,A,0,1,12,680249,0,0,1086.4341270982063,56687.416666666664,0,1.26,0.3,0.2,0.0,0.0,0.64,0.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018328445747800586,0.00013552737088194436,0.00013885281879831966,0.0,0.0,1.0245370945716348,1.0245370945716348,Professional and business services,Federal Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,1,1028,73,0.0,2018,A,0,5,36,3206211,0,0,1706.893137207928,89061.41666666667,0,0.39,0.04,0.04,0.0,0.0,0.97,0.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009164222873900294,0.0004065821126458331,0.0006544536412580971,0.0,0.0,1.6096469099421027,1.6096469099421025,Public administration,Federal Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,2,10,71,0.0,2018,A,0,13,359,23090023,0,0,1232.669499561506,64317.61281337048,0,0.34,0.13,0.14,0.0,0.0,1.1,1.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023826979472140763,0.004054527178884835,0.004713148831777825,0.0,0.0,1.1624410501729916,1.1624410501729916,"Total, all industries",State Government,All establishment sizes,"County, Total -- by ownership sector",Delaware
39041,2,1025,73,0.0,2018,A,0,4,48,2591238,0,0,1034.6245987255043,53984.125,0,0.5,0.03,0.03,0.0,0.0,0.91,0.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007331378299120235,0.0005421094835277774,0.0005289249972838185,0.0,0.0,0.9756792923854405,0.9756792923854404,Education and health services,State Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,2,1028,73,0.0,2018,A,0,9,311,20498785,0,0,1263.2359151246187,65912.4919614148,0,0.33,0.29,0.32,0.0,0.0,1.14,1.14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016495601173020528,0.0035124176953570583,0.004184223834494006,0.0,0.0,1.1912660160051538,1.1912660160051536,Public administration,State Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,10,71,0.0,2018,A,0,125,7472,397514219,169119,4181,1019.6063649683683,53200.51110813704,0,1.35,0.87,0.93,0.01,0.04,1.07,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022910557184750734,0.08438837626915736,0.08114083199028968,0.00019172498203758018,0.00024277785245830721,0.9615166872211213,0.9615166872211213,"Total, all industries",Local Government,All establishment sizes,"County, Total -- by ownership sector",Delaware
39041,3,1012,73,0.0,2018,A,N,2,0,0,0,0,0.0,0.0,N,0.85,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,Construction,Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,1021,73,0.0,2018,A,0,3,33,2197662,0,0,1276.3321006529284,66595.81818181818,0,0.46,0.1,0.1,0.0,0.0,1.03,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005498533724340176,0.000372700269925347,0.00044858803683056175,0.0,0.0,1.2036160771238917,1.2036160771238915,"Trade, transportation, and utilities",Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,1022,73,0.0,2018,A,0,3,131,3038250,0,0,444.49711257923536,23192.748091603054,0,1.08,1.65,1.2,0.0,0.0,0.73,0.72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005498533724340176,0.0014795071321278927,0.0006201693449222192,0.0,0.0,0.4191729336446417,0.41917293364464164,Information,Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,1024,73,0.0,2018,A,0,6,86,4394697,0,0,979.3709531306931,51101.12790697674,0,2.5,1.49,1.49,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010997067448680353,0.0009712794913206013,0.0008970480900589622,0.0,0.0,0.9235735934661709,0.9235735934661709,Professional and business services,Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,1025,73,0.0,2018,A,0,57,5097,283057270,24007,408,1064.3302688609506,55534.09260349225,0,1.43,0.97,1.14,0.01,0.02,1.17,1.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010447214076246334,0.05756525078210587,0.057777813448982716,2.7215993730900653e-05,2.369130920903835e-05,1.0036925517389204,1.0036925517389204,Education and health services,Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,1026,73,0.0,2018,A,N,3,0,0,0,0,0.0,0.0,N,1.18,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005498533724340176,0.0,0.0,0.0,0.0,0.0,0.0,Leisure and hospitality,Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,1027,73,0.0,2018,A,0,3,12,400594,0,0,639.79365307524,33382.833333333336,0,2.58,0.61,0.47,0.0,0.0,0.79,0.79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005498533724340176,0.00013552737088194436,8.176947866692059e-05,0.0,0.0,0.6033429124670959,0.6033429124670958,Other services,Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,3,1028,73,0.0,2018,A,0,48,1739,93076826,145112,3773,1025.7906030221682,53523.18918918919,0,1.4,0.7,0.67,0.03,0.09,0.96,0.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008797653958944282,0.019640174830308436,0.018998895485183704,0.00016450898830667953,0.00021908654324926888,0.9673485928376196,0.9673485928376195,Public administration,Local Government,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,5,10,71,0.0,2018,A,0,5303,80475,4463469815,881922501,17217324,1062.9879710940215,55464.05486175831,0,1.0,1.07,1.07,1.02,1.01,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9719574780058651,0.9088804309770394,0.9110860367805971,0.9998082750179624,0.9997572221475417,1.0024267282344133,1.0024267282344133,"Total, all industries",Private,All establishment sizes,"County, Total -- by ownership sector",Delaware
39041,5,1011,73,0.0,2018,A,0,27,317,13534336,3519113,107298,818.2658472724216,42695.066246056784,0,0.36,0.27,0.2,0.2,0.22,0.74,0.74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004948680351906158,0.0035801813807980302,0.0027626364818817443,0.003989509615792518,0.006230465920371071,0.771647072603329,0.7716470726033289,Natural resources and mining,Private,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,5,1012,73,0.0,2018,A,0,410,3535,223895133,48538768,1921569,1213.8694128145028,63336.671287128716,0,0.93,0.81,0.84,0.74,0.86,1.05,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07514662756598241,0.03992410467230611,0.04570160387192731,0.05502690072035828,0.11157962094485935,1.144712054209918,1.144712054209918,Construction,Private,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
39041,5,1013,73,0.0,2018,A,0,150,6115,400363975,71110056,1448832,1254.802179474718,65472.44071954211,0,0.78,0.8,0.79,0.71,0.69,0.99,0.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02749266862170088,0.06906248941192415,0.08172252583105596,0.0806152721414585,0.08412923260771925,1.1833127726343724,1.1833127726343724,Manufacturing,Private,All establishment sizes,"County, by Supersector -- by ownership sector",Delaware
